"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-02","0.00","0.0","0.0",,"89","64","  791"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-03","0.00","0.0","0.0",,"93","68","  843"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-04","0.00","0.0","0.0",,"92","71","  696"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-05","0.11","0.0","0.0",,"79","69","    4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-06","2.30","0.0","0.0",,"84","68","   40"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-07","1.35","0.0","0.0",,"85","71","  156"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-08","0.00","0.0","0.0",,"87","68","  597"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-09","0.06","0.0","0.0",,"82","69","  231"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-10","4.64","0.0","0.0",,"76","70","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-11","1.50","0.0","0.0",,"84","68","  261"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-12","0.00","0.0","0.0",,"89","69","  723"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-13","0.43","0.0","0.0",,"86","69","  602"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-14","0.02","0.0","0.0",,"85","66","  758"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-15","0.00","0.0","0.0",,"85","68","  787"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-16","0.00","0.0","0.0",,"87","68","  524"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-17","0.00","0.0","0.0",,"91","71","  771"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-18","0.00","0.0","0.0",,"89","72","  821"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-19","0.02","0.0","0.0",,"82","58","   47"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-20","0.00","0.0","0.0",,"68","59","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-21","0.07","0.0","0.0",,"69","58","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-22","0.00","0.0","0.0",,"78","65","   81"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-23","0.08","0.0","0.0",,"69","65","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-24","0.75","0.0","0.0",,"71","67","    0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-25","0.00","0.0","0.0",,"83","70","  353"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-26","0.00","0.0","0.0",,"89","70","  592"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-27","0.44","0.0","0.0",,"90","70","  491"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990-08-28","0.37","0.0","0.0",,"88","68","  455"
